frame,xmin,xmax,ymin,ymax,class_id
1478019952686311006.jpg,237,251,143,155,1
1478019952686311006.jpg,437,454,120,186,3
1478019953180167674.jpg,218,231,146,158,1
1478019953689774621.jpg,171,182,141,154,2
1478019953689774621.jpg,179,191,144,155,1
1478019953689774621.jpg,206,220,145,156,1
1478019953689774621.jpg,385,420,122,152,1
1478019953689774621.jpg,411,462,124,148,1
1478019954186238236.jpg,165,177,140,154,2
1478019954186238236.jpg,171,182,144,157,1
1478019954186238236.jpg,200,214,145,157,1
1478019954186238236.jpg,362,430,118,149,1
1478019954186238236.jpg,433,479,124,148,1
1478019954685370994.jpg,160,173,140,153,2
1478019954685370994.jpg,165,177,144,156,1
1478019954685370994.jpg,194,207,144,156,1
1478019954685370994.jpg,373,457,118,152,1
1478019955185244088.jpg,154,169,139,153,2
1478019955185244088.jpg,160,172,144,155,1
1478019955185244088.jpg,189,203,142,154,1
1478019955185244088.jpg,390,479,114,153,1
1478019955679801306.jpg,148,162,143,156,1
1478019955679801306.jpg,149,166,138,153,2
1478019955679801306.jpg,184,198,142,153,1
1478019956186247611.jpg,137,153,141,157,1
1478019956186247611.jpg,145,162,137,152,2
1478019956186247611.jpg,179,192,141,152,1
1478019956680248165.jpg,123,147,141,162,1
1478019956680248165.jpg,138,157,138,153,2
1478019956680248165.jpg,181,193,143,153,1
1478019957180061202.jpg,97,129,141,167,1
1478019957180061202.jpg,129,150,137,160,2
1478019957180061202.jpg,178,188,144,154,1
1478019957180061202.jpg,402,421,134,149,1
1478019957687018435.jpg,43,97,139,170,1
1478019957687018435.jpg,111,138,135,160,2
1478019957687018435.jpg,173,184,144,154,1
1478019957687018435.jpg,359,382,137,147,1
1478019957687018435.jpg,412,431,133,148,1
1478019957687018435.jpg,429,447,135,148,1
1478019958179775471.jpg,90,129,134,162,2
1478019958179775471.jpg,173,183,144,154,1
1478019958179775471.jpg,370,393,137,146,1
1478019958179775471.jpg,429,449,134,149,1
1478019958682197101.jpg,59,110,129,160,2
1478019958682197101.jpg,173,183,143,153,1
1478019958682197101.jpg,383,406,136,145,1
1478019959187829768.jpg,0,79,133,265,1
1478019959187829768.jpg,7,88,123,167,2
1478019959187829768.jpg,176,187,144,154,1
1478019959187829768.jpg,396,418,136,148,1
1478019959681353555.jpg,2,135,130,230,1
1478019959681353555.jpg,166,178,144,152,1
1478019959681353555.jpg,180,191,143,153,1
1478019959681353555.jpg,417,451,134,145,1
1478019960189614397.jpg,45,158,136,211,1
1478019960189614397.jpg,186,196,144,154,1
1478019960189614397.jpg,447,477,135,145,1
1478019960680764792.jpg,78,168,137,196,1
1478019960680764792.jpg,185,196,141,151,1
1478019961182003465.jpg,112,177,139,182,1
1478019961680640592.jpg,116,138,146,158,1
1478019961680640592.jpg,129,186,139,179,1
1478019961680640592.jpg,264,271,139,155,3
1478019961680640592.jpg,366,386,135,145,1
1478019961680640592.jpg,423,438,134,146,1
1478019962181150666.jpg,116,140,146,157,1
1478019962181150666.jpg,133,153,141,159,1
1478019962181150666.jpg,147,194,140,176,1
1478019962181150666.jpg,268,275,138,156,3
1478019962181150666.jpg,377,397,134,144,1
1478019962181150666.jpg,402,425,134,145,1
1478019962181150666.jpg,453,457,132,144,1
1478019962681840550.jpg,95,126,141,161,1
1478019962681840550.jpg,116,141,146,157,1
1478019962681840550.jpg,157,198,140,172,1
1478019962681840550.jpg,271,280,137,156,3
1478019962681840550.jpg,384,394,134,143,1
1478019962681840550.jpg,417,439,134,145,1
1478019962681840550.jpg,440,465,132,144,1
1478019963181283434.jpg,117,143,146,157,1
1478019963181283434.jpg,167,202,141,168,1
1478019963181283434.jpg,278,287,138,158,3
1478019963181283434.jpg,399,416,134,143,1
1478019963181283434.jpg,437,460,132,143,1
1478019963682173845.jpg,86,113,146,156,1
1478019963682173845.jpg,117,143,146,157,1
